Input Size;Execution Time (ms)
590;33
1190;12
1790;49
2390;53
2990;55
3590;106
4190;131
4790;139
5390;225
5990;269
6590;307
7190;339
7790;365
8390;466
8990;580
9590;696
10190;799
10790;839
11390;830
11990;928
12590;1056
13190;1193
13790;1321
14390;1372
14990;1583
15590;2252
16190;1790
16790;1978
17390;2131
17990;2715
