Input Size;Execution Time (ms)
590;29
1190;11
1790;27
2390;44
2990;94
3590;88
4190;147
4790;143
5390;210
5990;255
6590;254
7190;343
7790;400
8390;486
8990;513
9590;657
10190;765
10790;760
11390;904
11990;994
12590;1137
13190;1164
13790;1305
14390;1408
14990;1564
15590;1674
16190;1813
16790;2002
17390;2165
17990;2345
